1,3,12
3,2,12
3,4,18
4,5,21
4,9,18
5,6,13
5,7,13
5,8,13
9,10,15
9,60,18
10,11,17
60,59,15
60,61,18
11,12,21
11,15,21
11,21,33
12,13,12
12,14,12
15,16,12
15,17,21
21,22,33
21,28,33
21,29,33
21,30,45
21,31,33
17,18,13
17,19,13
17,20,13
22,23,13
22,24,13
22,25,21
28,29,25
28,30,33
28,31,25
29,30,33
29,31,25
30,31,33
30,32,45
30,49,21
25,26,12
25,27,12
32,33,39
32,34,39
32,35,39
32,36,39
32,48,21
49,50,15
33,34,34
33,35,34
33,36,34
33,45,29
34,35,34
34,36,34
34,39,29
35,36,34
35,38,24
36,37,19
48,45,17
45,44,21
45,46,21
39,38,21
39,40,21
39,44,21
38,37,15
40,41,18
40,43,21
44,43,21
41,42,18
41,47,18
43,42,21
43,46,21
42,47,18
47,46,18
50,51,27
50,54,18
51,52,21
51,53,33
51,54,27
51,62,33
51,63,27
54,53,21
52,53,17
53,55,25
62,61,21
62,63,21
62,64,21
63,64,18
55,56,21
55,57,21
55,58,25
56,57,18
56,58,21
57,58,21
58,59,17
61,75,24
75,71,29
75,74,29
75,76,19
75,77,19
64,65,21
65,66,21
65,70,17
65,72,21
66,67,18
66,69,18
70,71,17
72,71,21
72,73,18
67,68,15
67,69,18
69,68,15
71,73,21
73,74,21
74,76,17
74,77,17
